Date,Daily Revenue,Anomaly Type,Transaction Volume_x,Transaction Volume_y
2011-04-14,35295.58,Normal,1608,1608
2011-04-15,28327.131,Normal,1483,1483
2011-04-17,12704.3,Normal,968,968
2011-04-18,32185.61,Normal,3208,3208
2011-04-19,23837.65,Normal,1887,1887
2011-04-20,28239.39,Normal,1025,1025
2011-04-21,31198.6,Normal,1930,1930
2011-04-26,30585.54,Normal,1903,1903
2011-04-27,25590.56,Normal,1307,1307
2011-04-28,21241.9,Normal,1192,1192
2011-05-01,6964.66,Normal,452,452
2011-05-03,19617.86,Normal,1449,1449
2011-05-04,27462.3,Normal,1161,1161
2011-05-05,28750.65,Normal,1838,1838
2011-05-06,35714.58,Normal,2051,2051
2011-05-08,18808.920000000002,Normal,1506,1506
2011-05-09,26060.43,Normal,1766,1766
2011-05-10,45564.12,Normal,2586,2586
2011-05-11,33240.36,Normal,1701,1701
2011-05-12,59911.97,Normal,1965,1965
2011-05-13,30744.07,Normal,1425,1425
2011-05-15,9924.28,Normal,809,809
2011-05-16,25279.77,Normal,1609,1609
2011-05-17,53603.83,Normal,1932,1932
2011-05-18,34337.29,Normal,1366,1366
2011-05-19,34348.75,Normal,1949,1949
2011-05-20,26256.52,Normal,1129,1129
2011-05-22,24205.37,Normal,1564,1564
2011-05-23,30739.55,Normal,1646,1646
2011-05-24,37028.909999999996,Normal,1750,1750
2011-05-25,24152.28,Normal,1322,1322
2011-05-26,33208.59,Normal,971,971
2011-05-27,28232.19,Normal,1170,1170
2011-05-29,7208.3,Normal,632,632
2011-05-31,21967.96,Normal,1281,1281
2011-06-01,20191.2,Normal,1456,1456
2011-06-02,32502.01,Normal,1588,1588
2011-06-03,16751.0,Normal,858,858
2011-06-05,25520.35,Normal,1561,1561
2011-06-06,16791.39,Normal,1229,1229
2011-06-07,37644.3,Normal,1926,1926
2011-06-08,42940.91,Normal,2327,2327
2011-06-09,45515.75,Normal,1850,1850
2011-06-10,22540.660000000003,Normal,1067,1067
2011-06-12,12483.86,Normal,1075,1075
2011-06-13,20372.93,Normal,1472,1472
2011-06-14,40211.93,Normal,1587,1587
2011-06-15,46139.18,Normal,1718,1718
2011-06-16,34131.73,Normal,1534,1534
2011-06-17,20800.72,Normal,961,961
2011-06-19,22360.01,Normal,1167,1167
2011-06-20,33493.4,Normal,2020,2020
2011-06-21,22730.01,Normal,1538,1538
2011-06-22,21794.94,Normal,1017,1017
2011-06-23,24273.31,Normal,1973,1973
2011-06-24,8619.88,Normal,1039,1039
2011-06-26,6175.17,Normal,708,708
2011-06-27,16823.86,Normal,1182,1182
2011-06-28,34704.64,Normal,1043,1043
2011-06-29,21775.43,Normal,1358,1358
2011-06-30,43834.55,Normal,1620,1620
2011-07-01,13171.82,Normal,1027,1027
2011-07-03,5977.14,Normal,602,602
2011-07-04,44154.75,Normal,2200,2200
2011-07-05,40334.97,Normal,2202,2202
2011-07-06,26279.58,Normal,1816,1816
2011-07-07,31357.72,Normal,1940,1940
2011-07-08,26840.079999999998,Normal,1630,1630
2011-07-10,5692.07,Normal,820,820
2011-07-11,22429.53,Normal,1515,1515
2011-07-12,25892.04,Normal,1667,1667
2011-07-13,11612.05,Normal,1618,1618
2011-07-14,32575.96,Normal,1734,1734
2011-07-15,14478.93,Normal,1136,1136
2011-07-17,17174.66,Normal,1248,1248
2011-07-18,28443.27,Normal,2234,2234
2011-07-19,49316.78,Normal,1667,1667
2011-07-20,27305.41,Normal,2015,2015
2011-07-21,30957.07,Normal,1570,1570
2011-07-22,20015.23,Normal,1301,1301
2011-07-24,26476.2,Normal,1125,1125
2011-07-25,26687.65,Normal,1946,1946
2011-07-26,21271.301,Normal,1279,1279
2011-07-27,25568.45,Normal,1259,1259
2011-07-28,55706.88,Normal,1565,1565
2011-07-29,18094.21,Normal,1131,1131
2011-07-31,33486.36,Normal,1271,1271
2011-08-01,21362.84,Normal,1200,1200
2011-08-02,14947.27,Normal,1369,1369
2011-08-03,27075.02,Normal,1560,1560
2011-08-04,61028.65,Normal,1839,1839
2011-08-05,21298.3,Normal,1455,1455
2011-08-07,7464.12,Normal,541,541
2011-08-08,19987.15,Normal,1490,1490
2011-08-09,26623.2,Normal,1119,1119
2011-08-10,27474.22,Normal,1376,1376
2011-08-11,72132.79,High Spike,1984,1984
2011-08-12,10049.480000000001,Normal,1122,1122
2011-08-14,5150.18,Normal,557,557
2011-08-15,17205.54,Normal,926,926
2011-08-16,19103.71,Normal,1035,1035
2011-08-17,49392.22,Normal,1666,1666
2011-08-18,53225.67,Normal,1539,1539
2011-08-19,17248.54,Normal,819,819
2011-08-21,14549.210000000001,Normal,1070,1070
2011-08-22,27978.41,Normal,1272,1272
2011-08-23,25756.3,Normal,1458,1458
2011-08-24,37074.9,Normal,1876,1876
2011-08-25,22458.88,Normal,1342,1342
2011-08-26,25550.23,Normal,929,929
2011-08-28,10784.78,Normal,1200,1200
2011-08-30,31640.9,Normal,3235,3235
2011-08-31,16118.0,Normal,1305,1305
2011-09-01,37296.6,Normal,1405,1405
2011-09-02,41745.07,Normal,2376,2376
2011-09-04,17018.49,Normal,1343,1343
2011-09-05,36844.04,Normal,1587,1587
2011-09-06,28052.62,Normal,1140,1140
2011-09-07,34125.65,Normal,2112,2112
2011-09-08,26708.0,Normal,1779,1779
2011-09-09,29317.69,Normal,1607,1607
2011-09-11,35465.47,Normal,2032,2032
2011-09-12,29039.31,Normal,1702,1702
2011-09-13,54828.45,Normal,2438,2438
2011-09-14,23360.66,Normal,1376,1376
2011-09-15,62943.81,Normal,2197,2197
2011-09-16,25858.06,Normal,1475,1475
2011-09-18,15692.33,Normal,1274,1274
2011-09-19,46212.21,Normal,1436,1436
2011-09-20,109286.20999999999,High Spike,1718,1718
2011-09-21,42944.07,Normal,3129,3129
2011-09-22,57076.83,Normal,2748,2748
2011-09-23,39426.48,Normal,2642,2642
2011-09-25,31210.921000000002,Normal,1987,1987
2011-09-26,28642.271,Normal,1554,1554
2011-09-27,35752.16,Normal,1897,1897
2011-09-28,43383.04,Normal,2877,2877
2011-09-29,43464.33,Normal,2508,2508
2011-09-30,43992.85,Normal,1887,1887
2011-10-02,11623.58,Normal,1429,1429
2011-10-03,64214.78,Normal,2296,2296
2011-10-04,48240.84,Normal,2797,2797
2011-10-05,75244.43,High Spike,2447,2447
2011-10-06,55306.28,Normal,3189,3189
2011-10-07,47538.02,Normal,2426,2426
2011-10-09,11922.24,Normal,1292,1292
2011-10-10,44265.89,Normal,3232,3232
2011-10-11,38267.75,Normal,2467,2467
2011-10-12,29302.85,Normal,2193,2193
2011-10-13,37067.17,Normal,2358,2358
2011-10-14,35225.54,Normal,1810,1810
2011-10-16,21605.44,Normal,1254,1254
2011-10-17,47064.14,Normal,2944,2944
2011-10-18,44637.840000000004,Normal,2908,2908
2011-10-19,36003.43,Normal,2318,2318
2011-10-20,60793.14,Normal,2350,2350
2011-10-21,62961.26,Normal,1404,1404
2011-10-23,12302.41,Normal,1728,1728
2011-10-24,38407.72,Normal,2976,2976
2011-10-25,40807.49,Normal,2492,2492
2011-10-26,37842.08,Normal,1930,1930
2011-10-27,47480.15,Normal,2540,2540
2011-10-28,39559.47,Normal,1641,1641
2011-10-30,34545.28,Normal,2907,2907
2011-10-31,48475.45,Normal,3414,3414
2011-11-01,28741.55,Normal,1786,1786
2011-11-02,45239.06,Normal,2632,2632
2011-11-03,62816.55,Normal,2419,2419
2011-11-04,60081.76,Normal,3011,3011
2011-11-06,42912.4,Normal,3437,3437
2011-11-07,70001.08,High Spike,2099,2099
2011-11-08,56647.66,Normal,4070,4070
2011-11-09,62599.43,Normal,2716,2716
2011-11-10,68956.24,High Spike,3275,3275
2011-11-11,54835.51,Normal,4089,4089
2011-11-13,33520.22,Normal,3018,3018
2011-11-14,112141.11,High Spike,3597,3597
2011-11-15,60594.23,Normal,3445,3445
2011-11-16,64408.7,Normal,4195,4195
2011-11-17,60329.72,Normal,3621,3621
2011-11-18,48031.8,Normal,2920,2920
2011-11-20,34902.01,Normal,3334,3334
2011-11-21,48302.5,Normal,2930,2930
2011-11-22,62307.32,Normal,3967,3967
2011-11-23,78480.7,High Spike,3619,3619
2011-11-24,48080.28,Normal,3766,3766
2011-11-25,50442.72,Normal,3125,3125
2011-11-27,20571.5,Normal,2543,2543
2011-11-28,55442.02,Normal,3330,3330
2011-11-29,72219.2,High Spike,4313,4313
2011-11-30,59150.98,Normal,3454,3454
2011-12-01,51410.95,Normal,2901,2901
2011-12-02,57086.06,Normal,2880,2880
2011-12-04,24565.78,Normal,2038,2038
2011-12-05,57751.32,Normal,5331,5331
2011-12-06,54228.37,Normal,3365,3365
2011-12-07,75076.22,High Spike,2438,2438
2011-12-08,81417.78,High Spike,4940,4940
2011-12-09,32131.529999999988,Normal,1632,1632
